날짜,요일,노출수,클릭수,CTR,평균 CPC,비용,구독 신청,전환율,전환당비용,예산 소진,학습 기간
2026-07-06,월,614,44,7.15%,820,36000,0.00,0.00%,,Y,Y
2026-07-07,화,662,40,6.09%,892,36000,0.00,0.00%,,Y,Y
2026-07-08,수,767,47,6.16%,762,36000,0.00,0.00%,,Y,Y
2026-07-09,목,743,48,6.49%,746,36000,0.00,0.00%,,Y,
2026-07-10,금,843,50,5.89%,725,36000,1.00,2.01%,36000,Y,
2026-07-11,토,578,56,9.67%,644,36000,0.00,0.00%,,Y,
2026-07-12,일,673,42,6.32%,847,36000,1.00,2.35%,36000,Y,
2026-07-13,월,840,50,5.93%,723,36000,0.00,0.00%,,Y,
2026-07-14,화,689,42,6.04%,864,36000,0.00,0.00%,,Y,
2026-07-15,수,698,44,6.35%,813,36000,0.00,0.00%,,Y,
2026-07-16,목,713,45,6.25%,808,36000,0.00,0.00%,,Y,
2026-07-17,금,556,54,9.66%,670,36000,0.00,0.00%,,Y,
2026-07-18,토,704,46,6.47%,791,36000,0.00,0.00%,,Y,
2026-07-19,일,778,43,5.58%,828,36000,0.00,0.00%,,Y,
2026-07-20,월,674,45,6.61%,807,36000,0.00,0.00%,,Y,
2026-07-21,화,768,50,6.54%,717,36000,0.00,0.00%,,Y,
2026-07-22,수,685,43,6.35%,829,36000,0.00,0.00%,,Y,
2026-07-23,목,599,57,9.50%,633,36000,0.00,0.00%,,Y,
2026-07-24,금,828,47,5.72%,760,36000,0.00,0.00%,,Y,
2026-07-25,토,641,58,9.03%,623,36000,0.00,0.00%,,Y,
2026-07-26,일,613,56,9.20%,638,36000,0.00,0.00%,,Y,
2026-07-27,월,584,55,9.49%,649,36000,0.00,0.00%,,Y,
2026-07-28,화,740,49,6.59%,738,36000,0.00,0.00%,,Y,
2026-07-29,수,706,47,6.68%,763,36000,0.00,0.00%,,Y,
2026-07-30,목,567,54,9.46%,671,36000,0.00,0.00%,,Y,
2026-07-31,금,723,47,6.44%,773,36000,0.00,0.00%,,Y,
2026-08-01,토,728,47,6.49%,761,36000,0.00,0.00%,,Y,
2026-08-02,일,805,49,6.14%,728,36000,0.00,0.00%,,Y,
2026-08-03,월,745,49,6.65%,727,36000,0.00,0.00%,,Y,
2026-08-04,화,588,54,9.14%,670,36000,0.00,0.00%,,Y,
합계,,20853,1459,7.00%,740,1080000,2.00,0.14%,540000,,
