구분,값,노출수,클릭수,CTR,비용,구독 신청
기기,휴대전화,14986,1053,7.03%,779529,2.00
기기,컴퓨터,4815,333,6.92%,246308,0.00
기기,태블릿,1053,73,6.94%,54163,0.00
시간대,00:00,344,23,6.76%,17245,0.00
시간대,01:00,194,13,6.76%,9700,0.00
시간대,02:00,108,7,6.76%,5389,0.00
시간대,03:00,65,4,6.76%,3233,0.00
시간대,04:00,65,4,6.76%,3233,0.00
시간대,05:00,129,9,6.76%,6467,0.00
시간대,06:00,306,22,7.06%,16030,0.00
시간대,07:00,568,40,7.06%,29769,0.00
시간대,08:00,831,59,7.06%,43509,0.00
시간대,09:00,962,68,7.06%,50379,0.00
시간대,10:00,1006,71,7.06%,52669,0.00
시간대,11:00,1006,71,7.06%,52669,0.00
시간대,12:00,961,67,6.95%,49429,0.31
시간대,13:00,961,67,6.95%,49429,0.31
시간대,14:00,1004,70,6.95%,51675,0.32
시간대,15:00,1048,73,6.95%,53922,0.33
시간대,16:00,1092,76,6.95%,56169,0.35
시간대,17:00,1223,85,6.95%,62909,0.39
시간대,18:00,1578,111,7.02%,81865,0.00
시간대,19:00,1884,132,7.02%,97783,0.00
시간대,20:00,2016,141,7.02%,104605,0.00
시간대,21:00,1753,123,7.02%,90961,0.00
시간대,22:00,1139,80,7.02%,59125,0.00
시간대,23:00,613,43,7.02%,31836,0.00
