검색어,관련도,일치 키워드,광고그룹,검색유형,노출수,클릭수,CTR,비용,구독 신청,전환당비용
홈트,정확 일치,홈트,광고그룹 1,확장검색,1921,165,8.61%,118568,1.00,118568
홈트 가격,관련,홈트,광고그룹 1,확장검색,1773,153,8.61%,109476,1.00,109476
가까운 홈트,관련,홈트,광고그룹 1,확장검색,1708,147,8.61%,105424,0.00,
홈트 추천,관련,홈트,광고그룹 1,확장검색,1525,131,8.61%,94151,0.00,
홈트 후기,관련,홈트,광고그룹 1,확장검색,1500,129,8.61%,92592,0.00,
저렴한 홈트,관련,홈트,광고그룹 1,확장검색,1474,127,8.61%,90976,0.00,
홈트 할인,관련,홈트,광고그룹 1,확장검색,1413,122,8.61%,87206,0.00,
홈트 채용,무관,홈트,광고그룹 1,확장검색,1106,95,8.61%,68280,0.00,
홈트 스포츠센터,무관,홈트,광고그룹 1,확장검색,962,83,8.61%,59376,0.00,
홈트 블로그,느슨함,홈트,광고그룹 1,확장검색,847,73,8.61%,52271,0.00,
홈트 헬스장,무관,홈트,광고그룹 1,확장검색,689,59,8.61%,42561,0.00,
전문 강사진,정확 일치,전문 강사진,광고그룹 1,확장검색,472,11,2.41%,11402,0.00,
전문 강사진 신청,관련,전문 강사진,광고그룹 1,확장검색,423,10,2.41%,10201,0.00,
전문 강사진 후기,관련,전문 강사진,광고그룹 1,확장검색,411,10,2.41%,9927,0.00,
전문 알바,무관,전문 강사진,광고그룹 1,확장검색,397,10,2.41%,9577,0.00,
전문 강사진 추천,관련,전문 강사진,광고그룹 1,확장검색,385,9,2.41%,9285,0.00,
전문 채용,무관,전문 강사진,광고그룹 1,확장검색,370,9,2.41%,8924,0.00,
전문 강사진 문의,관련,전문 강사진,광고그룹 1,확장검색,365,9,2.41%,8799,0.00,
무료 전문 강사진,무관,전문 강사진,광고그룹 1,확장검색,333,8,2.41%,8025,0.00,
전문 자격증,무관,전문 강사진,광고그룹 1,확장검색,302,7,2.41%,7282,0.00,
홈트레이닝 클래스,정확 일치,홈트레이닝 클래스,광고그룹 1,확장검색,173,7,4.20%,7077,0.00,
홈트레이닝 추천,느슨함,홈트레이닝 클래스,광고그룹 1,확장검색,139,6,4.20%,5682,0.00,
전문 퍼스널트레이닝,무관,전문 강사진,광고그룹 1,확장검색,213,5,2.41%,5152,0.00,
홈트레이닝 클래스 할인,관련,홈트레이닝 클래스,광고그룹 1,확장검색,122,5,4.20%,4967,0.00,
직접 홈트레이닝 클래스,관련,홈트레이닝 클래스,광고그룹 1,확장검색,117,5,4.20%,4776,0.00,
저렴한 홈트레이닝 클래스,관련,홈트레이닝 클래스,광고그룹 1,확장검색,105,4,4.20%,4271,0.00,
전문 후기,느슨함,전문 강사진,광고그룹 1,확장검색,170,4,2.41%,4107,0.00,
클래스 일정,정확 일치,클래스 일정,광고그룹 1,확장검색,127,4,3.14%,3841,0.00,
홈트레이닝 클래스 추천,관련,홈트레이닝 클래스,광고그룹 1,확장검색,87,4,4.20%,3558,0.00,
클래스 일정 할인,관련,클래스 일정,광고그룹 1,확장검색,116,4,3.14%,3519,0.00,
동네 클래스 일정,관련,클래스 일정,광고그룹 1,확장검색,104,3,3.14%,3155,0.00,
클래스 스포츠센터,무관,클래스 일정,광고그룹 1,확장검색,103,3,3.14%,3118,0.00,
클래스 일정 비교,관련,클래스 일정,광고그룹 1,확장검색,102,3,3.14%,3100,0.00,
클래스 후기,느슨함,클래스 일정,광고그룹 1,확장검색,101,3,3.14%,3071,0.00,
홈트레이닝 스포츠센터,무관,홈트레이닝 클래스,광고그룹 1,확장검색,68,3,4.20%,2760,0.00,
클래스 일정 문의,관련,클래스 일정,광고그룹 1,확장검색,87,3,3.14%,2623,0.00,
초보 클래스 일정,관련,클래스 일정,광고그룹 1,확장검색,75,2,3.14%,2265,0.00,
클래스 채용,무관,클래스 일정,광고그룹 1,확장검색,63,2,3.14%,1900,0.00,
클래스 피트니스센터,무관,클래스 일정,광고그룹 1,확장검색,60,2,3.14%,1832,0.00,
클래스 블로그,느슨함,클래스 일정,광고그룹 1,확장검색,60,2,3.14%,1804,0.00,
홈핏 다이어트,정확 일치,홈핏 다이어트,광고그룹 1,확장검색,37,2,5.75%,402,0.00,
홈핏 다이어트 문의,관련,홈핏 다이어트,광고그룹 1,확장검색,35,2,5.75%,374,0.00,
중고 홈핏 다이어트,무관,홈핏 다이어트,광고그룹 1,확장검색,34,2,5.75%,362,0.00,
가까운 홈핏 다이어트,관련,홈핏 다이어트,광고그룹 1,확장검색,30,2,5.75%,327,0.00,
홈핏 퍼스널트레이닝,무관,홈핏 다이어트,광고그룹 1,확장검색,28,2,5.75%,304,0.00,
홈핏 다이어트 신청,관련,홈핏 다이어트,광고그룹 1,확장검색,28,2,5.75%,304,0.00,
홈핏 헬스장,무관,홈핏 다이어트,광고그룹 1,확장검색,26,2,5.75%,282,0.00,
홈핏 채용,무관,홈핏 다이어트,광고그룹 1,확장검색,25,1,5.75%,266,0.00,
홈핏 다이어트 가격,관련,홈핏 다이어트,광고그룹 1,확장검색,22,1,5.75%,235,0.00,
홈핏 pt,무관,홈핏 다이어트,광고그룹 1,확장검색,13,1,5.75%,141,0.00,
홈핏 무료,무관,홈핏 다이어트,광고그룹 1,확장검색,11,1,5.75%,122,0.00,
